revenue,operating_expenses,operating_profit,depreciation,interest,profit_before_tax,tax,net_profit,profit_TTM
1128.7,978.9,132.6,21.4,34.8,93.5,24.0,69.4,305.5
54632.0,48557.0,5612.0,1843.0,1034.0,3231.0,1035.0,2196.0,8423.0
392.6,260.2,121.2,45.6,4.1,82.6,21.9,60.7,320.5
96093.4,87512.0,8240.0,1247.3,590.0,6744.1,1616.0,5827.0,16645.0
15806.0,11826.0,3797.0,297.0,88.0,3590.0,931.0,2656.0,10284.0
7014.0,3652.0,3139.0,825.0,232.0,2305.0,576.0,1729.0,8432.0
1880.8,82.7,1809.6,2.4,1216.8,606.4,154.7,451.6,1790.7
18439.3,11320.2,6454.2,453.0,9.9,6656.2,1700.3,4898.1,20185.1
57292.3,23911.0,15473.2,0.0,17908.0,14824.2,3808.8,11805.6,41086.8
17958.1,17612.3,-229.6,0.0,0.0,340.2,32.5,243.9,906.9
7063.7,1922.3,2175.3,0.0,2966.1,2396.9,1003.7,1385.4,4776.3
8765.8,3849.0,1511.2,0.0,3405.6,982.8,236.0,746.9,2911.1
36.7,6.0,30.6,0.0,0.0,30.6,6.6,223.5,4147.1
1874.5,950.4,794.6,232.7,434.6,256.9,85.8,95.7,501.0
256.1,299.3,-52.8,13.3,69.3,-125.8,0.0,-126.0,-388.4
10750.8,6433.5,4282.8,5667.3,6569.0,-7919.0,817.7,-8737.9,-30986.8
1272.4,1260.0,4.4,55.0,60.4,-103.0,-17.4,-80.1,-261.1
2242.3,190.6,1779.2,22.9,1349.8,421.6,123.6,298.0,1146.0
15929.4,3599.1,4327.7,0.0,8002.6,2776.7,768.6,2068.5,6893.3
1480.9,1078.4,354.8,111.2,59.0,232.2,72.3,166.9,1100.3
179752.1,156013.1,23328.4,3609.6,2135.0,18090.2,4699.7,13114.3,38614.3
6941.5,1785.1,1679.8,0.0,3476.6,635.5,8.3,627.2,2341.9
3520.2,2801.6,656.9,102.2,2.5,613.9,151.4,552.7,1806.2
13529.7,3449.9,3908.7,0.0,6171.1,2934.9,732.9,2202.2,8333.7
792.0,421.2,204.7,25.9,8.2,382.8,68.7,205.1,-25.6
15502.9,12743.6,2200.3,1549.0,1021.3,189.1,0.2,188.9,5621.3
2072.5,1712.7,321.3,90.3,44.1,225.4,87.9,145.1,492.2
889.4,638.2,243.5,32.2,10.4,208.7,58.1,150.6,486.6
2782.1,2285.8,467.0,137.1,115.0,244.2,65.7,178.1,444.0
1588.5,1357.3,217.3,56.6,33.6,141.0,45.1,92.7,357.6
1214.0,407.9,662.6,13.2,388.1,277.9,72.4,194.9,608.1
3387.4,1379.0,1880.4,408.7,513.7,1085.9,235.1,850.2,1591.7
44821.0,36698.0,7886.0,2019.0,2084.0,4609.0,1812.0,2760.0,9252.0
9829.0,8566.5,1230.6,221.9,155.6,985.7,229.1,774.3,2600.2
12282.0,9964.5,2285.7,603.7,329.4,1384.5,-5.8,1387.8,4056.0
1375.7,1091.4,277.2,141.9,56.8,85.5,23.3,97.2,235.0
